test_case,metric_type,trial_num,best
48,SA,1,0.5869690678011964
48,MC_Avg,0,196419.75671622058
48,Avg,1,196422.71586989274
49,MC_SA,0,0.883809
49,SA,1,0.8866647661073631
49,MC_Avg,0,1911425.014289575
49,Avg,1,1908855.273626477
50,MC_SA,0,0.873354
50,SA,1,0.8828626741387241
50,MC_Avg,0,936917.276755664
50,Avg,1,941470.5426118529
51,MC_SA,0,0.490935
51,SA,1,0.49170492624141593
51,MC_Avg,0,-207138.38275
51,Avg,1,-207610.26675488468
52,MC_SA,0,0.949529
52,SA,1,0.9496114145551312
52,MC_Avg,0,1303135.2191852836
52,Avg,1,1303079.0984450425
53,MC_SA,0,0.873385
53,SA,1,0.8734697415640441
53,MC_Avg,0,262681.33414460206
53,Avg,1,262870.82770334353
54,MC_SA,0,0.963169
54,SA,1,0.9629691195040382
54,MC_Avg,0,3359000.58465904
54,Avg,1,3359991.3500845674
55,MC_SA,0,0.989423
55,SA,1,0.9895286585756891
55,MC_Avg,0,457425.50752880424
55,Avg,1,457398.3000276107
56,MC_SA,0,0.942534
56,SA,1,0.9427247517085102
56,MC_Avg,0,366452.07045744365
56,Avg,1,366445.7237821433
57,MC_SA,0,0.28353
57,SA,1,0.2835898815296399
57,MC_Avg,0,-311177.4400455653
57,Avg,1,-311670.7385540185
58,MC_SA,0,0.973913
58,SA,1,0.9739204359987809
58,MC_Avg,0,4083875.250577977
58,Avg,1,4083742.788323166
59,MC_SA,0,0.586343
59,SA,1,0.5861384315373724
59,MC_Avg,0,-189693.33066923977
59,Avg,1,-189017.67074192426
60,MC_SA,0,0.958989
60,SA,1,0.9588065953938194
60,MC_Avg,0,485220.58491806115
60,Avg,1,485297.8319080675
61,MC_SA,0,1.0
61,SA,1,1.0
61,MC_Avg,0,4182334.4333925587
61,Avg,1,4182334.2090991666
62,MC_SA,0,0.465029
62,SA,1,0.4650291530981207
62,MC_Avg,0,-2587763.6394162024
62,Avg,1,-2587763.402923123
63,MC_SA,0,0.402493
63,SA,1,0.40249303058674585
63,MC_Avg,0,-1714368.690220318
63,Avg,1,-1714368.809235075
64,MC_SA,0,0.75326
64,SA,1,0.7532596934805899
64,MC_Avg,0,118965.14492434212
64,Avg,1,118965.05042034708
65,MC_SA,0,0.732602
65,SA,1,0.7326017608019051
65,MC_Avg,0,1931906.6868790782
65,Avg,1,1931906.7773892176
66,MC_SA,0,0.352468
66,SA,1,0.35246772696569734
66,MC_Avg,0,-2196191.781407429
66,Avg,1,-2196191.820599009
67,MC_SA,0,0.737922
67,SA,1,0.7379229857619471
67,MC_Avg,0,-27327.561360367286
67,Avg,1,-27327.528397043236
68,MC_SA,0,0.760588
68,SA,1,0.7605881273245229
68,MC_Avg,0,33452.694814560105
68,Avg,1,33452.74546770222
69,MC_SA,0,0.431777
69,SA,1,0.43177681734209167
69,MC_Avg,0,-1001073.1999027726
69,Avg,1,-1001073.1356134496
70,MC_SA,0,0.642119
70,SA,1,0.6421196117645385
70,MC_Avg,0,-1212966.5740946315
70,Avg,1,-1212966.8933964742
71,MC_SA,0,1.0
