test_case,metric_type,best_0,best_1,best_2,best_3,best_4,best_5
1,Avg,502930.8452282483,503564.0435116617,,,,
1,SA,0.722742,0.7225558146263821,,,,
2,Avg,3380756.595471608,3380313.666216706,,,,
2,SA,0.875403,0.8753424830943378,,,,
3,Avg,1053328.724284432,1053253.763928105,,,,
3,SA,0.909701,0.9095207116564944,,,,
4,Avg,1445306.209377159,1445825.7816695436,,,,
4,SA,0.857763,0.8582570889069265,,,,
5,Avg,821737.3183535523,820110.0417187096,,,,
5,SA,0.879435,0.8796041160341433,,,,
6,Avg,2803188.235909662,2803386.0554835405,,,,
6,SA,0.960472,0.9602088347853734,,,,
7,Avg,269154.69618082733,270791.7813336585,,,,
7,SA,0.702325,0.7026044560044373,,,,
8,Avg,3171904.132506008,3171851.116667807,,,,
8,SA,0.839216,0.8394555404379207,,,,
9,Avg,-86006.32077617178,-87771.99230378734,,,,
9,SA,0.691824,0.6919376009677913,,,,
10,Avg,2746946.5287129367,2749766.842681668,,,,
10,SA,0.963205,0.9633162769939057,,,,
11,Avg,-659333.02319,-659295.5632575497,,,,
11,SA,0.12172,0.1221341196100833,,,,
12,Avg,3371261.3371792547,3371696.2311441624,,,,
12,SA,0.999203,0.9992448464218668,,,,
13,Avg,267583.81944493303,267788.63862229453,,,,
13,SA,0.743839,0.7417432635218741,,,,
14,Avg,325632.86683921376,325606.04591900937,,,,
14,SA,0.904017,0.9043994594233729,,,,
15,Avg,882430.7229357668,882026.4996531047,,,,
15,SA,0.945549,0.945582760114524,,,,
16,Avg,-58943.131953854536,-58741.41758234447,,,,
16,SA,0.882992,0.8828285748076621,,,,
17,Avg,-182391.66429057487,-183003.34640845843,,,,
17,SA,0.446112,0.4457610099125888,,,,
18,Avg,-583492.2700100038,-583357.2396963047,,,,
18,SA,0.14816,0.146650766715825,,,,
19,Avg,3139.204229263048,2185.3704428102064,,,,
19,SA,0.532307,0.5320124499892172,,,,
20,Avg,891747.040509726,891784.660538837,,,,
20,SA,0.958309,0.9609888000233198,,,,
21,Avg,1704320.4683403105,1704320.4161524894,,,,
21,SA,0.746874,0.7534672935906436,,,,
22,Avg,-725532.3760314218,-726317.0478029165,,,,
22,SA,0.70156,0.6887553450323631,,,,
23,Avg,-41754.54609537329,-43273.07665773167,,,,
23,SA,0.81205,0.8387183420335732,,,,
24,Avg,-639758.7348782578,-643047.0319489201,,,,
24,SA,0.962681,0.9627818103619046,,,,
25,Avg,603153.6437015367,603626.1336787484,,,,
25,SA,0.709263,0.6988691023527889,,,,
26,Avg,324542.8822023204,316176.4632553137,,,,
26,SA,0.90541,0.9086763330057,,,,
27,Avg,-2929721.456106384,-2920271.9567825804,,,,
27,SA,0.27783,0.2725994619056603,,,,
28,Avg,-2325383.0645158524,-2313984.965991448,,,,
28,SA,0.686087,0.678484346331788,,,,
29,Avg,1260845.7986735937,1260728.1570702991,,,,
29,SA,0.887721,0.8942863807052132,,,,
30,Avg,-1211379.7845190442,-1211132.3819514343,,,,
30,SA,0.831661,0.8367950608344598,,,,
31,Avg,1704320.4739841097,1704320.4161524894,,,,
31,SA,0.746357,0.7534672935906436,,,,
32,Avg,-3950697.383937221,-3949470.244254793,,,,
32,SA,0.25461,0.2506196917954281,,,,
33,Avg,-1545244.6696699036,-1547877.6961168973,,,,
33,SA,0.610207,0.6026154126874425,,,,
34,Avg,-3695639.800755609,-3690476.680309656,,,,
34,SA,0.069532,0.0676230997728814,,,,
35,Avg,-1105084.488902054,-1103619.018190378,,,,
35,SA,0.515634,0.4969478584835742,,,,
36,Avg,-817926.4923138784,-812668.3858396647,,,,
36,SA,0.477846,0.4598208983625688,,,,
37,Avg,-961510.904359286,-959831.081171652,,,,
37,SA,0.385199,0.3749104067803064,,,,
38,Avg,-1307539.36377825,-1308144.8016451756,,,,
38,SA,0.580657,0.5472068414415786,,,,
39,Avg,38127.47389465702,32865.752105764375,,,,
39,SA,0.748439,0.7552431833169166,,,,
40,Avg,-427032.4467205287,-428554.5018276328,,,,
40,SA,0.762061,0.7724805182452278,,,,
41,Avg,-5259860.89272301,-5259860.780294266,,,,
41,SA,0.0,0.0,,,,
42,Avg,1167220.5907973873,1165636.0590489,,,,
42,SA,0.764348,0.7701578650740163,,,,
43,Avg,2037871.1130699555,2035841.937685132,,,,
43,SA,0.849614,0.8582490887691496,,,,
44,Avg,2142744.773236185,2134927.488792938,,,,
44,SA,0.843581,0.8515166135551073,,,,
45,Avg,4658882.598474104,4662371.602610812,,,,
45,SA,0.763074,0.772832247160005,,,,
46,Avg,-1342593.4200119888,-1341096.130253862,,,,
46,SA,0.458077,0.4243328076322784,,,,
47,Avg,941573.3808477216,940669.8761762473,,,,
47,SA,0.855573,0.8642677691341613,,,,
48,Avg,196419.75671622055,196422.71586989277,,,,
48,SA,0.610717,0.5869690678011964,,,,
49,Avg,1911425.014289575,1908855.273626477,,,,
49,SA,0.883809,0.8866647661073631,,,,
50,Avg,936917.276755664,941470.5426118528,,,,
50,SA,0.873354,0.8828626741387241,,,,
51,Avg,-207138.38275,-207610.26675488468,,,,
51,SA,0.490935,0.4917049262414159,,,,
52,Avg,1303135.2191852836,1303079.0984450425,,,,
52,SA,0.949529,0.9496114145551312,,,,
53,Avg,262681.33414460206,262870.8277033436,,,,
53,SA,0.873385,0.8734697415640441,,,,
54,Avg,3359000.58465904,3359991.3500845674,,,,
54,SA,0.963169,0.9629691195040382,,,,
55,Avg,457425.5075288042,457398.3000276107,,,,
55,SA,0.989423,0.9895286585756892,,,,
56,Avg,366452.07045744365,366445.7237821433,,,,
56,SA,0.942534,0.9427247517085102,,,,
57,Avg,-311177.4400455653,-311670.7385540185,,,,
57,SA,0.28353,0.2835898815296399,,,,
58,Avg,4083875.250577977,4083742.788323166,,,,
58,SA,0.973913,0.9739204359987808,,,,
59,Avg,-189693.33066923975,-189017.67074192423,,,,
59,SA,0.586343,0.5861384315373724,,,,
60,Avg,485220.5849180612,485297.8319080675,,,,
60,SA,0.958989,0.9588065953938194,,,,
61,Avg,4182334.433392559,4182334.209099167,,,,
61,SA,1.0,1.0,,,,
62,Avg,-2587763.6394162024,-2587763.402923123,,,,
62,SA,0.465029,0.4650291530981207,,,,
63,Avg,-1714368.690220318,-1714368.809235075,,,,
63,SA,0.402493,0.4024930305867458,,,,
64,Avg,118965.14492434212,118965.05042034708,,,,
64,SA,0.75326,0.7532596934805899,,,,
65,Avg,1931906.6868790784,1931906.7773892176,,,,
65,SA,0.732602,0.7326017608019051,,,,
66,Avg,-2196191.781407429,-2196191.820599009,,,,
66,SA,0.352468,0.3524677269656973,,,,
67,Avg,-27327.561360367286,-27327.52839704324,,,,
67,SA,0.737922,0.7379229857619471,,,,
68,Avg,33452.694814560105,33452.74546770222,,,,
68,SA,0.760588,0.7605881273245229,,,,
69,Avg,-1001073.1999027726,-1001073.1356134496,,,,
69,SA,0.431777,0.4317768173420916,,,,
70,Avg,-1212966.5740946317,-1212966.8933964742,,,,
70,SA,0.642119,0.6421196117645385,,,,
71,Avg,4182334.374552527,4182334.209099167,,,,
71,SA,1.0,1.0,,,,
72,Avg,340580.52139085095,340580.2972886701,,,,
72,SA,0.645698,0.6456984156468931,,,,
73,Avg,-1926604.985956968,-1926604.967035851,,,,
73,SA,0.3717,0.3717000830070891,,,,
74,Avg,2051701.781307534,2051701.8864760287,,,,
74,SA,0.762982,0.7629822460512776,,,,
75,Avg,-3079582.7979898066,-3079582.705418792,,,,
75,SA,0.319097,0.3190966897052256,,,,
76,Avg,-11833.902750467078,-11833.72167701344,,,,
76,SA,0.486109,0.4861091389997338,,,,
77,Avg,-229352.0750284765,-229352.2495704539,,,,
77,SA,0.616035,0.616035089128564,,,,
78,Avg,575915.6484841333,575915.7230354133,,,,
78,SA,0.779084,0.7790839647056507,,,,
79,Avg,11320.42702602516,11320.21994947466,,,,
79,SA,0.735276,0.735275743193886,,,,
80,Avg,-2260485.449558056,-2260485.5038572336,,,,
80,SA,0.414383,0.4143834192780696,,,,
81,Avg,-2781662.08422,-2781662.1909008333,,,,
81,SA,0.0,0.0,,,,
82,Avg,-192927.79827821185,-192927.7667278188,,,,
82,SA,0.596248,0.5962471837514899,,,,
83,Avg,378451.35357312567,378451.4839549634,,,,
83,SA,0.558024,0.5580238716229158,,,,
84,Avg,-2561229.5841796286,-2561229.5941526312,,,,
84,SA,0.480918,0.4809183222219534,,,,
85,Avg,-357925.839017708,-357925.7775037019,,,,
85,SA,0.58805,0.5880493661376287,,,,
86,Avg,-1048043.5359138806,-1048043.3272028522,,,,
86,SA,0.42024,0.4202395850852889,,,,
87,Avg,1151479.058263904,1151479.247539158,,,,
87,SA,0.735276,0.735275743193886,,,,
88,Avg,384786.36322180537,384786.4025031914,,,,
88,SA,0.767699,0.7676988993548571,,,,
89,Avg,-263498.0866238575,-263497.9237102878,,,,
89,SA,0.785646,0.7856453918699282,,,,
90,Avg,1154226.019614667,1154226.1303410083,,,,
90,SA,0.718821,0.7188212019397966,,,,
91,Avg,-2104381.78608337,-2104273.348013496,,,,
91,SA,0.217614,0.2155566443939712,,,,
92,Avg,-1113023.2811775676,-1102300.3448047682,,,,
92,SA,0.602775,0.5865250382462894,,,,
93,Avg,3076379.5000701337,3074078.1448216545,,,,
93,SA,0.840158,0.8425288241075564,,,,
94,Avg,2558724.270101873,2556023.2232119595,,,,
94,SA,0.893055,0.8939120832778326,,,,
95,Avg,51174.7746048652,52494.97562634139,,,,
95,SA,0.584872,0.5680880794185702,,,,
96,Avg,2525664.1879003053,2525619.843479121,,,,
96,SA,0.932229,0.936089797662695,,,,
97,Avg,-1186003.2832915594,-1185581.1645763386,,,,
97,SA,0.488111,0.4709873414209454,,,,
98,Avg,1033298.1254169552,1033221.470967793,,,,
98,SA,0.691238,0.6838938042132839,,,,
99,Avg,332989.38316851284,329678.9104307638,,,,
99,SA,0.557831,0.5403302844758757,,,,
100,Avg,-2175052.1484412607,-2173383.649760056,,,,
100,SA,0.420773,0.4138258143948541,,,,
101,Avg,1164720.3045680383,1164223.1873324097,,,,
101,SA,0.707788,0.7074775406444122,,,,
