test_case,metric_type,trial_num,best
1,MC_SA,0,0.722389
1,SA,1,0.7225558146263821
1,MC_Avg,0,502088.4329483482
1,Avg,1,503564.0435116617
2,MC_SA,0,0.875221
2,SA,1,0.8753424830943378
2,MC_Avg,0,3380324.351516821
2,Avg,1,3380313.666216706
3,MC_SA,0,0.909442
3,SA,1,0.9095207116564945
3,MC_Avg,0,1053038.785051786
3,Avg,1,1053253.763928105
4,MC_SA,0,0.858537
4,SA,1,0.8582570889069265
4,MC_Avg,0,1448616.8766487127
4,Avg,1,1445825.7816695436
5,MC_SA,0,0.879834
5,SA,1,0.8796041160341433
5,MC_Avg,0,818284.4613228065
5,Avg,1,820110.0417187096
6,MC_SA,0,0.959983
6,SA,1,0.9602088347853734
6,MC_Avg,0,2800182.0427894094
6,Avg,1,2803386.0554835405
7,MC_SA,0,0.702635
7,SA,1,0.7026044560044373
7,MC_Avg,0,273720.73515312246
7,Avg,1,270791.78133365855
8,MC_SA,0,0.839668
8,SA,1,0.8394555404379207
8,MC_Avg,0,3164879.932011047
8,Avg,1,3171851.116667807
9,MC_SA,0,0.692303
9,SA,1,0.6919376009677913
9,MC_Avg,0,-87804.62292471697
9,Avg,1,-87771.99230378734
10,MC_SA,0,0.963083
10,SA,1,0.9633162769939055
10,MC_Avg,0,2750721.135584902
10,Avg,1,2749766.842681668
11,MC_SA,0,0.121828
11,SA,1,0.12213411961008334
11,MC_Avg,0,-658593.94618
11,Avg,1,-659295.5632575494
12,MC_SA,0,0.999184
12,SA,1,0.9992991300079768
12,MC_Avg,0,3372051.1196849803
12,Avg,1,3371695.337605247
13,MC_SA,0,0.743676
13,SA,1,0.7470909640448231
13,MC_Avg,0,267583.0393092583
13,Avg,1,267625.7723807863
14,MC_SA,0,0.90449
14,SA,1,0.9040910724084055
14,MC_Avg,0,325850.62602817366
14,Avg,1,325652.0059551651
15,MC_SA,0,0.945267
15,SA,1,0.9450619954857636
15,MC_Avg,0,882047.5246319296
15,Avg,1,882001.6899193877
16,MC_SA,0,0.88297
16,SA,1,0.8828285748076621
16,MC_Avg,0,-58901.51316567288
16,Avg,1,-58741.41758234447
17,MC_SA,0,0.445664
17,SA,1,0.4458055275962711
17,MC_Avg,0,-183392.60450714483
17,Avg,1,-182997.11309470463
18,MC_SA,0,0.147991
18,SA,1,0.14357367825738993
18,MC_Avg,0,-583465.5570636969
18,Avg,1,-583024.4746587235
19,MC_SA,0,0.533218
19,SA,1,0.5315817415773741
19,MC_Avg,0,1539.9811558261788
19,Avg,1,2117.391141389322
20,MC_SA,0,0.958736
20,SA,1,0.9609883021764136
20,MC_Avg,0,891920.7651537143
20,Avg,1,891784.6605388374
21,MC_SA,0,0.746649
21,SA,1,0.7534672935906439
21,MC_Avg,0,1704320.1018803655
21,Avg,1,1704320.416313298
22,MC_SA,0,0.701407
22,SA,1,0.6887553450340927
22,MC_Avg,0,-725378.1904419793
22,Avg,1,-726318.0277722267
23,MC_SA,0,0.812333
23,SA,1,0.8387183420335242
23,MC_Avg,0,-42013.972872042476
23,Avg,1,-43273.07657242264
24,MC_SA,0,0.962709
24,SA,1,0.9627818103505307
24,MC_Avg,0,-639602.1925549413
24,Avg,1,-643047.9541239653
25,MC_SA,0,0.709365
25,SA,1,0.6988691022849898
25,MC_Avg,0,603170.4591027674
25,Avg,1,603599.7287467704
26,MC_SA,0,0.905482
26,SA,1,0.9086763330056812
26,MC_Avg,0,322895.00008051866
26,Avg,1,316246.4839459553
27,MC_SA,0,0.277404
27,SA,1,0.27259946199726987
27,MC_Avg,0,-2929004.685042444
27,Avg,1,-2920283.9025434377
28,MC_SA,0,0.685779
28,SA,1,0.6784843464267413
28,MC_Avg,0,-2324787.6268676356
28,Avg,1,-2313905.716963497
29,MC_SA,0,0.887953
29,SA,1,0.894286380705206
29,MC_Avg,0,1260948.6950443115
29,Avg,1,1260755.3442256032
30,MC_SA,0,0.831737
30,SA,1,0.8367950608344571
30,MC_Avg,0,-1211386.000724055
30,Avg,1,-1211132.7495830017
31,MC_SA,0,0.746793
31,SA,1,0.7534672935906439
31,MC_Avg,0,1704320.0853183356
31,Avg,1,1704320.416313298
32,MC_SA,0,0.255202
32,SA,1,0.25061969294861325
32,MC_Avg,0,-3950599.8947973987
32,Avg,1,-3949427.135414576
33,MC_SA,0,0.6101
33,SA,1,0.6026154127764395
33,MC_Avg,0,-1544808.9594530854
33,Avg,1,-1547868.0119746597
34,MC_SA,0,0.069082
34,SA,1,0.06762309977288154
34,MC_Avg,0,-3695647.8097605044
34,Avg,1,-3690477.73929742
35,MC_SA,0,0.516091
35,SA,1,0.496947858490748
35,MC_Avg,0,-1105631.4437252148
35,Avg,1,-1103619.0180266176
36,MC_SA,0,0.477828
36,SA,1,0.45982089952097843
36,MC_Avg,0,-817630.200056964
36,Avg,1,-812668.3858391388
37,MC_SA,0,0.384941
37,SA,1,0.37491040678031784
37,MC_Avg,0,-961520.1047285207
37,Avg,1,-959831.081173965
38,MC_SA,0,0.580905
38,SA,1,0.5472068414425959
38,MC_Avg,0,-1307604.1599718996
38,Avg,1,-1308146.2969810085
39,MC_SA,0,0.74826
39,SA,1,0.7552431770451762
39,MC_Avg,0,37915.31850680637
39,Avg,1,32850.66091969382
40,MC_SA,0,0.761668
40,SA,1,0.7724805182452287
40,MC_Avg,0,-426589.91034415236
40,Avg,1,-428546.3183866147
41,MC_SA,0,0.0
41,SA,1,0.0
41,MC_Avg,0,-5259860.896245339
41,Avg,1,-5259860.780294266
42,MC_SA,0,0.764284
42,SA,1,0.7701578650740113
42,MC_Avg,0,1167286.669793893
42,Avg,1,1163512.7740272935
43,MC_SA,0,0.849546
43,SA,1,0.8582490887691313
43,MC_Avg,0,2037755.3705849797
43,Avg,1,2035887.980549545
44,MC_SA,0,0.843672
44,SA,1,0.8515166135550924
44,MC_Avg,0,2142844.8228859236
44,Avg,1,2134927.7549410607
45,MC_SA,0,0.762902
45,SA,1,0.7728322471600059
45,MC_Avg,0,4659183.664687906
45,Avg,1,4662368.568398043
46,MC_SA,0,0.457688
46,SA,1,0.4243328076323048
46,MC_Avg,0,-1342539.1792270422
46,Avg,1,-1341096.4750111308
47,MC_SA,0,0.855943
47,SA,1,0.8642677691341398
47,MC_Avg,0,941543.913228314
47,Avg,1,940685.6861303651
48,MC_SA,0,0.610433
48,SA,1,0.5869690678634063
48,MC_Avg,0,196417.61248922642
48,Avg,1,196296.03856002504
49,MC_SA,0,0.883818
49,SA,1,0.886664766107346
49,MC_Avg,0,1911335.130645907
49,Avg,1,1908855.2739704899
50,MC_SA,0,0.873167
50,SA,1,0.8828626741387142
50,MC_Avg,0,937273.9246262786
50,Avg,1,941470.5427071741
51,MC_SA,0,0.491677
51,SA,1,0.49170492624141593
51,MC_Avg,0,-208078.1578
51,Avg,1,-207610.26675488468
52,MC_SA,0,0.949772
52,SA,1,0.9496114145551312
52,MC_Avg,0,1302556.9419255392
52,Avg,1,1303079.0984450425
53,MC_SA,0,0.873691
53,SA,1,0.8734697415640441
53,MC_Avg,0,262854.665709614
53,Avg,1,262870.82770334353
54,MC_SA,0,0.962927
54,SA,1,0.9629691195040382
54,MC_Avg,0,3360666.1535630664
54,Avg,1,3359991.3500845674
55,MC_SA,0,0.989579
55,SA,1,0.9895286585756891
55,MC_Avg,0,457530.6614095367
55,Avg,1,457398.3000276107
56,MC_SA,0,0.942987
56,SA,1,0.9427247517085102
56,MC_Avg,0,366582.3038254178
56,Avg,1,366445.7237821433
57,MC_SA,0,0.284026
57,SA,1,0.2835898815296399
57,MC_Avg,0,-311504.4691676594
57,Avg,1,-311670.7385540185
58,MC_SA,0,0.973718
58,SA,1,0.9739204359987809
58,MC_Avg,0,4082846.0847220523
58,Avg,1,4083742.788323166
59,MC_SA,0,0.586386
59,SA,1,0.5861384315373724
59,MC_Avg,0,-188786.30775461573
59,Avg,1,-189017.67074192426
60,MC_SA,0,0.958656
60,SA,1,0.9588065953938194
60,MC_Avg,0,485192.0032536346
60,Avg,1,485297.8319080675
61,MC_SA,0,1.0
61,SA,1,1.0
61,MC_Avg,0,4182333.7567325584
61,Avg,1,4182334.2090991666
62,MC_SA,0,0.465029
62,SA,1,0.4650291530981207
62,MC_Avg,0,-2587763.5738806115
62,Avg,1,-2587763.402923123
63,MC_SA,0,0.402493
63,SA,1,0.40249303058674585
63,MC_Avg,0,-1714369.0860899966
63,Avg,1,-1714368.809235075
64,MC_SA,0,0.75326
64,SA,1,0.7532596934805899
64,MC_Avg,0,118964.85963193515
64,Avg,1,118965.05042034708
65,MC_SA,0,0.732601
65,SA,1,0.7326017608019051
65,MC_Avg,0,1931906.9803439449
65,Avg,1,1931906.7773892176
66,MC_SA,0,0.352467
66,SA,1,0.35246772696569734
66,MC_Avg,0,-2196191.897665748
66,Avg,1,-2196191.820599009
67,MC_SA,0,0.737923
67,SA,1,0.7379229857619471
67,MC_Avg,0,-27327.512113768033
67,Avg,1,-27327.528397043236
68,MC_SA,0,0.760588
68,SA,1,0.7605881273245229
68,MC_Avg,0,33452.80680878478
68,Avg,1,33452.74546770222
69,MC_SA,0,0.431776
69,SA,1,0.43177681734209167
69,MC_Avg,0,-1001073.01763531
69,Avg,1,-1001073.1356134496
70,MC_SA,0,0.64212
70,SA,1,0.6421196117645385
70,MC_Avg,0,-1212966.9504628582
70,Avg,1,-1212966.8933964742
71,MC_SA,0,1.0
71,SA,1,1.0
71,MC_Avg,0,4182334.4922325225
71,Avg,1,4182334.2090991666
72,MC_SA,0,0.645698
72,SA,1,0.6456984156468931
72,MC_Avg,0,340580.65557256056
72,Avg,1,340580.2972886701
73,MC_SA,0,0.3717
73,SA,1,0.3717000830070891
73,MC_Avg,0,-1926604.8076088363
73,Avg,1,-1926604.967035851
74,MC_SA,0,0.762982
74,SA,1,0.7629822460512776
74,MC_Avg,0,2051701.8670651002
74,Avg,1,2051701.8864760292
75,MC_SA,0,0.319096
75,SA,1,0.31909668970522564
75,MC_Avg,0,-3079582.6333307824
75,Avg,1,-3079582.7054187916
76,MC_SA,0,0.486109
76,SA,1,0.48610913899973385
76,MC_Avg,0,-11833.727377863092
76,Avg,1,-11833.72167701344
77,MC_SA,0,0.616035
77,SA,1,0.616035089128564
77,MC_Avg,0,-229352.2037408802
77,Avg,1,-229352.2495704539
78,MC_SA,0,0.779084
78,SA,1,0.7790839647056507
78,MC_Avg,0,575915.6649105117
78,Avg,1,575915.7230354133
79,MC_SA,0,0.735276
79,SA,1,0.735275743193886
79,MC_Avg,0,11320.403002426958
79,Avg,1,11320.21994947466
80,MC_SA,0,0.414383
80,SA,1,0.4143834192780696
80,MC_Avg,0,-2260485.549812105
80,Avg,1,-2260485.5038572336
81,MC_SA,0,0.0
81,SA,1,0.0
81,MC_Avg,0,-2781662.43726
81,Avg,1,-2781662.1909008333
82,MC_SA,0,0.596247
82,SA,1,0.5962471837514899
82,MC_Avg,0,-192927.79706207232
82,Avg,1,-192927.76672781882
83,MC_SA,0,0.558024
83,SA,1,0.5580238716229158
83,MC_Avg,0,378451.3487536185
83,Avg,1,378451.4839549634
84,MC_SA,0,0.480918
84,SA,1,0.4809183222219534
84,MC_Avg,0,-2561229.852746939
84,Avg,1,-2561229.5941526312
85,MC_SA,0,0.588049
85,SA,1,0.5880493661376287
85,MC_Avg,0,-357925.8243776353
85,Avg,1,-357925.7775037019
86,MC_SA,0,0.420239
86,SA,1,0.4202395850852889
86,MC_Avg,0,-1048042.8692256316
86,Avg,1,-1048043.3272028522
87,MC_SA,0,0.735276
87,SA,1,0.735275743193886
87,MC_Avg,0,1151479.0448116746
87,Avg,1,1151479.247539158
88,MC_SA,0,0.767699
88,SA,1,0.7676988993548571
88,MC_Avg,0,384786.49797334103
88,Avg,1,384786.4025031914
89,MC_SA,0,0.785646
89,SA,1,0.7856453918699282
89,MC_Avg,0,-263497.7528156196
89,Avg,1,-263497.9237102878
90,MC_SA,0,0.718821
90,SA,1,0.7188212019397966
90,MC_Avg,0,1154225.9505064245
90,Avg,1,1154226.1303410083
91,MC_SA,0,0.217688
91,SA,1,0.21327184880697622
91,MC_Avg,0,-2103947.072272323
91,Avg,1,-2104273.3480134956
92,MC_SA,0,0.602748
92,SA,1,0.5928133188661463
92,MC_Avg,0,-1111692.2198236433
92,Avg,1,-1096281.4416877641
