test_case,metric_type,best_0,best_1,best_2,best_3,best_4,best_5
11,SA,0.122173,0.1221341196100834,0.1221341196100834,0.1221341196100834,0.1221341196100834,0.1221341196100834
12,Avg,3372124.865333898,3371696.231144175,3371696.231144175,3371696.231144175,3371696.231144175,3371696.231144175
12,SA,0.999258,0.999244844116092,0.999244844116092,0.999244844116092,0.999244844116092,0.999244844116092
13,Avg,267642.8863299052,267788.638634078,267788.6386340773,267788.6386340774,267788.6386340776,267788.6386340782
13,SA,0.744025,0.7417426633612085,0.7417426633612098,0.7417426633612085,0.741742663361209,0.7417426633612092
14,Avg,325267.1932993657,325606.045918726,325606.045918726,325606.045918726,325606.045918726,325606.045918726
14,SA,0.904095,0.9043994756488736,0.9043994756488738,0.9043994756488738,0.9043994756488736,0.9043994756488736
15,Avg,881522.0755181019,882026.4996531007,882026.4996531007,882026.4996531007,882026.4996531007,882026.4996531007
15,SA,0.945304,0.9455828002407408,0.9455828002407408,0.9455828002407408,0.9455828002407408,0.945582800240741
16,Avg,-58744.567878661015,-58741.41758234402,-58741.41758234402,-58741.41758234402,-58741.41758234402,-58741.41758234402
16,SA,0.883278,0.8828285748076621,0.8828285748076621,0.8828285748076621,0.8828285748076621,0.8828285748076621
17,Avg,-182628.23600170173,-183003.34640845808,-183003.34640845808,-183003.34640845808,-183003.34640845808,-183003.34640845808
17,SA,0.445563,0.4457610130400821,0.4457610130400821,0.4457610130400821,0.4457610130400821,0.4457610130400821
18,Avg,-583668.8855239492,-583357.2396963038,-583357.2396963038,-583357.239696304,-583357.2396963038,-583357.2396963038
18,SA,0.147766,0.1466517523410077,0.1466517523410077,0.1466517523410077,0.1466517523410076,0.1466517523410077
19,Avg,2984.5518997341787,2185.370442810497,2185.370442810497,2185.370442810497,2185.370442810497,2185.370442810556
19,SA,0.532043,0.532012428345096,0.532012428345096,0.532012428345096,0.532012428345096,0.532012428345096
20,Avg,892068.9473933966,891784.6605388374,891784.6605388374,891784.6605388374,891784.6605388374,891784.6605388374
20,SA,0.958793,0.9609883021764136,0.9609883021764136,0.9609883021764136,0.9609883021764136,0.9609883021764136
21,Avg,1704320.4151257742,1704320.416313298,1704320.416313298,1704320.416313298,1704320.416313298,1704320.416313298
21,SA,0.746728,0.7534672608016904,0.7534672608016904,0.7534672608016904,0.7534672608016904,0.7534672608016904
22,Avg,-725648.281479717,-696241.2754362923,-696241.2754362923,-696241.2754362923,-696241.2754362923,-696241.2754362923
22,SA,0.701849,0.6887553673382617,0.6887553673382617,0.6887553673382617,0.6887553673382617,0.6887553673382617
23,Avg,-41976.90728888426,-76745.23489428195,-76745.23489428195,-76745.23489428195,-76745.23489428195,-76745.23489428195
