test_case,metric_type,best_0,best_1,best_2,best_3,best_4,best_5
63,SA,0.402493,0.4024930305867458,0.4024930305867458,0.4024930305867458,0.4024930305867458,0.4024930305867458
64,Avg,118964.85963193516,118965.05042034708,118965.05042034708,118965.05042034708,118965.05042034708,118965.05042034708
64,SA,0.75326,0.7532596934805899,0.7532596934805899,0.7532596934805899,0.7532596934805899,0.7532596934805899
65,Avg,1931906.9803439449,1931906.7773892176,1931906.7773892176,1931906.7773892176,1931906.7773892176,1931906.7773892176
65,SA,0.732601,0.7326017608019051,0.7326017608019051,0.7326017608019051,0.7326017608019051,0.7326017608019051
66,Avg,-2196191.897665748,-2196191.820599009,-2196191.820599009,-2196191.820599009,-2196191.820599009,-2196191.820599009
66,SA,0.352467,0.3524677269656973,0.3524677269656973,0.3524677269656973,0.3524677269656973,0.3524677269656973
67,Avg,-27327.512113768036,-27327.52839704324,-27327.52839704324,-27327.52839704324,-27327.52839704324,-27327.52839704324
67,SA,0.737923,0.7379229857619471,0.7379229857619471,0.7379229857619471,0.7379229857619471,0.7379229857619471
68,Avg,33452.80680878478,33452.74546770222,33452.74546770222,33452.74546770222,33452.74546770222,33452.74546770222
68,SA,0.760588,0.7605881273245229,0.7605881273245229,0.7605881273245229,0.7605881273245229,0.7605881273245229
69,Avg,-1001073.01763531,-1001073.1356134496,-1001073.1356134496,-1001073.1356134496,-1001073.1356134496,-1001073.1356134496
69,SA,0.431776,0.4317768173420916,0.4317768173420916,0.4317768173420916,0.4317768173420916,0.4317768173420916
70,Avg,-1212966.9504628582,-1212966.8933964742,-1212966.8933964742,-1212966.8933964742,-1212966.8933964742,-1212966.8933964742
70,SA,0.64212,0.6421196117645385,0.6421196117645385,0.6421196117645385,0.6421196117645385,0.6421196117645385
71,Avg,4182334.4922325225,4182334.209099167,4182334.209099167,4182334.209099167,4182334.209099167,4182334.209099167
71,SA,1.0,1.0,1.0,1.0,1.0,1.0
72,Avg,340580.65557256056,340580.2972886701,340580.2972886701,340580.2972886701,340580.2972886701,340580.2972886701
72,SA,0.645698,0.6456984156468931,0.6456984156468931,0.6456984156468931,0.6456984156468931,0.6456984156468931
73,Avg,-1926604.8076088363,-1926604.967035851,-1926604.967035851,-1926604.967035851,-1926604.967035851,-1926604.967035851
73,SA,0.3717,0.3717000830070891,0.3717000830070891,0.3717000830070891,0.3717000830070891,0.3717000830070891
74,Avg,2051701.8670651,2051701.8864760287,2051701.8864760287,2051701.8864760287,2051701.8864760287,2051701.8864760287
74,SA,0.762982,0.7629822460512776,0.7629822460512776,0.7629822460512776,0.7629822460512776,0.7629822460512776
75,Avg,-3079582.6333307824,-3079582.705418792,-3079582.705418792,-3079582.705418792,-3079582.705418792,-3079582.705418792
75,SA,0.319096,0.3190966897052256,0.3190966897052256,0.3190966897052256,0.3190966897052256,0.3190966897052256
76,Avg,-11833.727377863092,-11833.72167701344,-11833.72167701344,-11833.72167701344,-11833.72167701344,-11833.72167701344
76,SA,0.486109,0.4861091389997338,0.4861091389997338,0.4861091389997338,0.4861091389997338,0.4861091389997338
77,Avg,-229352.2037408802,-229352.2495704539,-229352.2495704539,-229352.2495704539,-229352.2495704539,-229352.2495704539
77,SA,0.616035,0.616035089128564,0.616035089128564,0.616035089128564,0.616035089128564,0.616035089128564
78,Avg,575915.6649105117,575915.7230354133,575915.7230354133,575915.7230354133,575915.7230354133,575915.7230354133
