test_case,metric_type,trial_num,best
48,MC_Avg,0,196419.46272041692
48,Avg,1,207447.27199895924
49,MC_SA,0,0.883779
49,SA,1,0.8866647793560144
49,MC_Avg,0,1911662.2245624843
49,Avg,1,1909382.579967748
50,MC_SA,0,0.873384
50,SA,1,0.8828626837971347
50,MC_Avg,0,937438.0351150525
50,Avg,1,902775.815757439
51,MC_SA,0,0.492119
51,SA,1,0.4917049262414158
51,MC_Avg,0,-207375.9519
51,Avg,1,-207610.26675488474
52,MC_SA,0,0.949915
52,SA,1,0.9496114145551312
52,MC_Avg,0,1302602.9839061478
52,Avg,1,1303079.0984450425
53,MC_SA,0,0.873488
53,SA,1,0.8734697415640441
53,MC_Avg,0,262878.7405740368
53,Avg,1,262870.8277033435
54,MC_SA,0,0.963012
54,SA,1,0.9629691195040382
54,MC_Avg,0,3359742.975042813
54,Avg,1,3359991.3500845674
55,MC_SA,0,0.98958
55,SA,1,0.9895286585756891
55,MC_Avg,0,457484.0332646426
55,Avg,1,457398.3000276107
56,MC_SA,0,0.942796
56,SA,1,0.9427247517085102
56,MC_Avg,0,366500.5848721217
56,Avg,1,366445.7237821432
57,MC_SA,0,0.283189
57,SA,1,0.28358988152964
57,MC_Avg,0,-311814.71589198953
57,Avg,1,-311670.73855401843
58,MC_SA,0,0.97359
58,SA,1,0.9739204359987809
58,MC_Avg,0,4084067.3375943913
58,Avg,1,4083742.7883231663
59,MC_SA,0,0.586755
59,SA,1,0.5861384315373723
59,MC_Avg,0,-189014.33109553944
59,Avg,1,-189017.67074192432
60,MC_SA,0,0.958897
60,SA,1,0.9588065953938194
60,MC_Avg,0,485223.9844101223
60,Avg,1,485297.8319080675
61,MC_SA,0,1.0
61,SA,1,1.0
61,MC_Avg,0,4182333.903832543
61,Avg,1,4182334.2090991666
62,MC_SA,0,0.465029
62,SA,1,0.4650291530981207
62,MC_Avg,0,-2587763.3225243124
62,Avg,1,-2587763.402923123
63,MC_SA,0,0.402493
63,SA,1,0.40249303058674585
63,MC_Avg,0,-1714368.596745929
63,Avg,1,-1714368.809235075
64,MC_SA,0,0.75326
64,SA,1,0.7532596934805899
64,MC_Avg,0,118965.09398240095
64,Avg,1,118965.05042034597
65,MC_SA,0,0.732602
65,SA,1,0.7326017608019051
65,MC_Avg,0,1931906.9771174637
65,Avg,1,1931906.7773892176
66,MC_SA,0,0.352468
66,SA,1,0.35246772696569734
66,MC_Avg,0,-2196191.440241261
66,Avg,1,-2196191.820599009
67,MC_SA,0,0.737923
67,SA,1,0.7379229857619471
67,MC_Avg,0,-27327.61665060766
67,Avg,1,-27327.528397043643
68,MC_SA,0,0.760588
68,SA,1,0.7605881273245229
68,MC_Avg,0,33452.646227624835
68,Avg,1,33452.74546770152
69,MC_SA,0,0.431777
69,SA,1,0.43177681734209167
69,MC_Avg,0,-1001073.2899130103
69,Avg,1,-1001073.1356134496
70,MC_SA,0,0.64212
70,SA,1,0.6421196117645385
70,MC_Avg,0,-1212966.574097559
70,Avg,1,-1212966.8933964735
71,MC_SA,0,1.0
71,SA,1,1.0
71,MC_Avg,0,4182334.139192551
71,Avg,1,4182334.2090991666
72,MC_SA,0,0.645698
72,SA,1,0.6456984156468931
72,MC_Avg,0,340580.313673824
72,Avg,1,340580.29728867
73,MC_SA,0,0.3717
73,SA,1,0.3717000830070891
73,MC_Avg,0,-1926605.4151904285
73,Avg,1,-1926604.9670358512
74,MC_SA,0,0.762982
74,SA,1,0.7629822460512776
74,MC_Avg,0,2051702.0726171667
74,Avg,1,2051701.8864760292
75,MC_SA,0,0.319097
75,SA,1,0.31909668970522564
75,MC_Avg,0,-3079582.6636930318
75,Avg,1,-3079582.7054187916
76,MC_SA,0,0.486109
76,SA,1,0.48610913899973385
76,MC_Avg,0,-11833.85960977488
76,Avg,1,-11833.721677013207
77,MC_SA,0,0.616035
77,SA,1,0.616035089128564
77,MC_Avg,0,-229352.14291521977
77,Avg,1,-229352.24957045435
78,MC_SA,0,0.779084
78,SA,1,0.7790839647056507
78,MC_Avg,0,575915.5703431666
78,Avg,1,575915.7230354131
79,MC_SA,0,0.735275
79,SA,1,0.735275743193886
79,MC_Avg,0,11320.011140607814
79,Avg,1,11320.219949474835
80,MC_SA,0,0.414383
80,SA,1,0.4143834192780696
80,MC_Avg,0,-2260485.5960464953
80,Avg,1,-2260485.5038572336
81,MC_SA,0,0.0
81,SA,1,0.0
81,MC_Avg,0,-2781662.11364
81,Avg,1,-2781662.1909008333
82,MC_SA,0,0.596247
82,SA,1,0.5962471837514899
82,MC_Avg,0,-192927.64343119782
82,Avg,1,-192927.76672781882
83,MC_SA,0,0.558024
83,SA,1,0.5580238716229158
83,MC_Avg,0,378451.68184347026
83,Avg,1,378451.4839549634
84,MC_SA,0,0.480918
84,SA,1,0.4809183222219534
84,MC_Avg,0,-2561229.433909844
84,Avg,1,-2561229.594152631
85,MC_SA,0,0.58805
85,SA,1,0.5880493661376287
85,MC_Avg,0,-357925.77537654096
85,Avg,1,-357925.777503702
86,MC_SA,0,0.420239
86,SA,1,0.4202395850852889
86,MC_Avg,0,-1048043.729315447
86,Avg,1,-1048043.3272028522
87,MC_SA,0,0.735276
87,SA,1,0.735275743193886
87,MC_Avg,0,1151479.1988900085
87,Avg,1,1151479.2475391584
88,MC_SA,0,0.767699
88,SA,1,0.7676988993548571
88,MC_Avg,0,384786.2602545509
88,Avg,1,384786.40250319114
89,MC_SA,0,0.785645
